id,name,city,main_category,sub_category,size_category,type_mode,phone,address,google_maps_url,specialization,equipment,source_notes,icu_ambulance,cardiac_ambulance,neonatal_ambulance,ventilator_ambulance,nurse_support,multi_specialty,patient_shifting,dead_body_transport,tn_to_wb,wb_to_tn,created_at,updated_at
amb-flight-1787042414949-26wir,Flying ICU / Airborne Private Jet Services,Chennai,flight,private,large,Private Jet / Helicopter,9400676664,"Chennai, Tamil Nadu & Pan-India, VVIP & international",,,,"Airborne Private Jet Services. Defibrillator, Suction Machine, Neonatal Incubator, VVIP transport.",true,false,true,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042415435-uj8km,Lifesavers Air Ambulance (Chennai operations),Chennai,flight,private,large,"Fixed Wing, ICU-equipped",9891233040,"Chennai Intl. Airport (MAA) to Delhi, Mumbai, Bengaluru, Hyderabad & abroad",,,,"Lifesavers Ambulance Services. Full ICU setup, advanced life-support, critical-care doctors.",true,false,false,false,true,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042416477-2yb5q,VMEDO Air Ambulance (Chennai),Chennai,flight,private,large,Helicopter & Fixed Wing,9343180000,Chennai to other Indian cities & international destinations,,,,"VMEDO. Flying ICU: ventilators, cardiac monitors, oxygen support, infusion pumps.",true,true,false,true,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042416981-lo7xc,StanPlus Air Ambulance,Chennai,flight,private,large,Fixed Wing & Rotary Wing (Helicopter),Contact via website,"Chennai, Hyderabad, Bengaluru, Delhi, Mumbai",,,,"StanPlus. Emergency medical services, medical evacuation, onboard oxygen.",true,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042418066-53jf0,Sky Air Ambulance,Chennai,flight,private,large,"Fixed Wing, Helicopter & Ground Ambulance combo",Contact via website,"Pan-India incl. Chennai/TN, international",,,,"Sky Air Ambulance Services. Medical escorts, domestic & international patient evacuation.",true,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042418672-7m5cf,Air Rescuers,Chennai,flight,private,large,"Fixed Wing, Helicopter, Charter Aircraft",9870001118,"Chennai, Vellore, Bengaluru, Hyderabad, Mumbai & int'l",,,,"Air Rescuers (est. 1999). Air ambulance, dead body repatriation, international evacuation.",true,false,false,false,false,false,false,true,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042419884-evfly,Accretion Aviation,Chennai,flight,private,large,"Fixed Wing, converted flying ICU",Contact via website,"Chennai, Bengaluru, Mumbai, Delhi, Lucknow, Kolkata",,,,Accretion Aviation. Emergency evacuations & planned inter-city hospital transfers.,true,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042420740-i75qf,Fly Air Charters,Chennai,flight,private,large,Fixed Wing Aircraft,988-428-9120,"Chennai-based, Pan-India transfers",,,,"Fly Air Charters (Valasaravakkam, Chennai). Bed-to-bed patient transfer with medical team.",true,false,false,false,true,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042421401-sdpvp,Aero Care Air Ambulance Service (Chennai),Chennai,flight,private,large,Helicopter / Fixed Wing,Contact via operator,Chennai,,,,Aero Care Air Ambulance Service. Emergency air ambulance services.,true,false,false,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042422267-6rb85,Apollo Hospitals Air Ambulance,Chennai,flight,private,large,Fixed Wing & Helicopter,Contact via Apollo Emergency (1066),"Chennai, Madurai, Trichy, Hyderabad, Bengaluru",,,,Apollo Hospitals Enterprise Ltd. Addresses emergency medical needs for patients outside city limits.,true,false,false,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042422940-q5s5a,Panchmukhi Air & Train Ambulance (Chennai & Madurai),Chennai,train,private,large,Fixed Wing & Train Ambulance combo,Contact via website/helpline,"Chennai, Madurai and other Indian cities",,,,Panchmukhi Air Ambulance. Pre-hospital & post-hospital care.,true,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042423785-ls9l7,ICATT Air Ambulance - Tiruchirappalli (Trichy) Branch,Chennai,flight,private,large,Helicopter / Fixed Wing,Contact via operator,Trichy to across India,,,,ICATT. Affordable flight & helicopter ambulance for patient transport.,true,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042424627-08l5k,India Air Ambulance - Madurai / Trichy / Chennai Charter Network,Chennai,flight,private,large,Fixed Wing & Helicopter charter,Contact via website,"Chennai, Madurai, Tiruchirappalli & other Indian cities",,,,India Air Ambulance charter aggregator network.,true,false,false,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042425281-bz9h5,Human Care Worldwide Air Ambulance (Coimbatore),Coimbatore,flight,private,large,Charter Plane & Helicopter,Contact via website,"Coimbatore hub, extends to Tiruppur, Pollachi, Erode, Salem, Palakkad; connects to Chennai, Bengaluru, Delhi, international",,,,"Human Care Worldwide. ICU-grade: ventilators, defibrillators, cardiac monitors; trauma, organ transport.",true,true,false,true,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042426199-lek94,Vedanta Air Ambulance Services (Vellore),Vellore,flight,private,large,Fixed Wing & Helicopter,Contact via website,"Vellore, Tamil Nadu & Pan-India",,,,Vedanta Air Ambulance. End-to-end patient shifting with full medical supervision.,true,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042426793-6l0zg,Panchmukhi Air & Train Ambulance (Vellore),Vellore,train,private,large,Fixed Wing & Train Ambulance combo,Contact via website/helpline,"Vellore to Delhi, Mumbai, Chennai & other metros",,,,"Panchmukhi Air Ambulance. Cardiac monitors, suction pumps, nebulizers, infusion pumps, defibrillators.",true,true,false,true,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042427743-x6weo,"AeroCare India (Chennai, accredited international transport)",Chennai,flight,private,large,ICU-equipped Fixed Wing & Helicopter,Contact via website,Chennai & international,,,,"AeroCare India. Neonatal transfers, ECMO air transfers, long-haul evacuations, accredited international standards.",true,false,true,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042428299-fnfw4,"EMSOS Medical (Helicopter Ambulance, serves South India)",Chennai,flight,private,large,Helicopter & Private Jet,Contact via website,Pan-India incl. Chennai/Bengaluru corridor,,,,"EMSOS Medical. Neonatal ICU & Pediatric transfers with incubators, rapid 30-90 min mobilization.",true,false,true,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-gov-1787039430890-33ooq,108 Emergency Ambulance Service,Chennai,local,government,medium,BLS & ALS,108,Statewide (all districts),,,,Tamil Nadu Health Dept. + EMRI (GVK EMRI) - PPP Model,true,true,false,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039431350-53og3,102 Ambulance Service (Free Transport),Chennai,local,government,medium,BLS (Maternal & Child focus),102,Statewide (all districts),,,,Tamil Nadu Health & Family Welfare Dept. maternal/child transport,false,false,true,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039432486-58avv,Tamil Nadu Fire and Rescue Services Ambulance,Chennai,local,government,medium,BLS,101,331-365 fire stations statewide,,,,Tamil Nadu Fire and Rescue Services Dept.,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039432959-xwrq0,Innuyir Nammai Kaakum 48 / Innuyir Kappom (Road Accident Emergency Care),Chennai,local,government,large,BLS & ALS (via 108 network),108,721 empanelled hospitals (248 govt + 473 private) statewide,,,,Tamil Nadu Health Dept. Free treatment within first 48 hours up to Rs. 1 Lakh,true,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039433996-ewn2k,Neonatal Emergency Transport (108 Neonatal Support),Chennai,local,government,medium,Neonatal / Incubator-equipped,108,One augmented vehicle per district (29 districts),,,,EMRI / TN Health Dept. High early neonatal mortality focus,false,false,true,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039434647-sep5d,Government Medical College Hospital Ambulances,Chennai,local,government,large,BLS / ALS / Patient Transport,Contact respective hospital,Attached to each Govt. Medical College Hospital (41 DME institutions),,,,"Directorate of Medical Education (DME), Govt. of TN",false,false,false,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039435821-x2nfo,Primary Health Centre (PHC) Ambulance Vans,Chennai,local,government,small,Basic Patient Transport,Contact local PHC / 108,Attached to PHCs across all districts,,,,"Directorate of Public Health & Preventive Medicine, TN",false,false,false,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039436549-eqcna,Chennai Corporation Ambulance Service,Chennai,local,government,medium,BLS,1913,Chennai city limits,,,,Greater Chennai Corporation,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039437331-2pmlm,District Headquarters Hospital (DHH) Ambulances,Chennai,local,government,large,BLS / Patient Transport,Contact respective DHH,All 38 District Headquarters Hospitals,,,,TN Health & Family Welfare Dept.,false,false,false,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039438069-3vnet,Mortuary Van / Dead Body Transport (Govt. Hospitals),Chennai,local,government,large,Freezer / Mortuary Van,Contact respective hospital,Attached to major govt. hospitals statewide,,,,TN Health & Family Welfare Dept.,false,false,false,false,false,false,false,true,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039438874-zyssf,TAEI Trauma Care Ambulances (Tamil Nadu Accident & Emergency Care),Chennai,local,government,large,ALS / Trauma-equipped,108,110 TAEI highway trauma centers,,,,TN Health & Family Welfare Dept. (TAEI Programme),true,false,false,true,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039439813-m4zdo,Emergency Relief on Highways (Highways Dept. Response Vehicles),Chennai,local,government,medium,Accident Response / First Response Vehicle,1033,State & National Highways across TN,,,,Tamil Nadu Highways Department,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039440442-vtngj,Hospital on Wheels,Chennai,local,government,large,Mobile Medical Unit,104,Statewide (rural focus),,,,Tamil Nadu Health & Family Welfare Dept.,false,false,false,false,false,true,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039441370-decx3,Government Medical College Ambulances - Rajiv Gandhi Govt. General Hospital (RGGGH),Chennai,local,government,large,BLS / ALS / ICU,Contact hospital / 108,Chennai (Park Town),,,,"Directorate of Medical Education, Govt. of TN",true,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039441986-ldjvw,Arignar Anna Memorial Cancer Hospital Ambulance,Chennai,local,government,medium,Patient Transport (Oncology),Contact hospital,Kancheepuram district (serves statewide referrals),,,,"Directorate of Medical Education, Govt. of TN",false,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039442962-f8984,Institute of Child Health & Hospital for Children Ambulance,Chennai,local,government,medium,Paediatric / Neonatal,Contact hospital / 108,Chennai (Egmore),,,,"Directorate of Medical Education, Govt. of TN",false,false,true,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039443521-hj37z,ESI (Employees' State Insurance) Hospital Ambulances,Chennai,local,government,medium,BLS / Patient Transport,Contact respective ESI hospital,"ESI Hospitals across TN (Chennai, Coimbatore, Madurai, etc.)",,,,"ESI Corporation, Govt. of India / TN",false,false,false,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039444483-tebcx,Sub-District / Taluk Hospital Ambulances,Chennai,local,government,medium,Basic Patient Transport,Contact respective hospital / 108,39+ Sub-District/Taluk Hospitals statewide,,,,TN Health & Family Welfare Dept.,false,false,false,false,false,false,true,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039445637-f7cyn,Government Dental College & Hospital Ambulance,Chennai,local,government,small,Patient Transport,Contact hospital,Chennai and district dental colleges,,,,"Directorate of Medical Education, Govt. of TN",false,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-gov-1787039446029-2siqv,Tribal & Hilly Area Special Ambulance Vehicles,Chennai,local,government,medium,4x4 / Terrain-adapted BLS,108,"Tribal & hilly blocks across TN (e.g., Nilgiris, Yercaud)",,,,TN Health & Family Welfare Dept. / TNHSP,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:50:30.890Z,2026-08-18T07:50:30.890Z
amb-priv-1787039499782-5tb3u,Apollo Hospitals Ambulance Service,Chennai,local,private,large,"BLS, ALS, Cardiac, Neonatal & Pediatric",1066,Chennai & major TN cities,,,,Apollo Hospitals Enterprise Ltd.,true,true,true,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039501017-lucv8,Fortis Malar Hospital Ambulance,Chennai,local,private,medium,BLS / ALS,044 4289 2222,"Adyar, Chennai",,,,Fortis Healthcare,true,true,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039501572-oph5e,MIOT International Ambulance,Chennai,local,private,large,BLS / ALS / ICU,Contact hospital,Chennai,,,,MIOT International,true,true,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039502845-o5dfw,Kauvery Hospital Ambulance,Chennai,local,private,medium,BLS / ALS,Contact hospital,"Chennai, Trichy, Salem, Tirunelveli, Hosur",,,,Kauvery Hospital Group,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039503510-lvtqw,SIMS Hospital Ambulance,Chennai,local,private,medium,BLS / ALS,Contact hospital,"Vadapalani, Chennai",,,,SIMS Hospitals,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039504712-pz3lk,RED Health Ambulance,Chennai,local,private,medium,"BLS / ALS, GPS-tracked dispatch",Contact via website/app,"Chennai (citywide incl. OMR, Anna Nagar, Bypass)",,,,RED.Health,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039505127-b1o5k,Flyinng Squad Ambulance Service,Chennai,local,private,medium,BLS / ALS,7449177777,Chennai,,,,Flyinng Squad Ambulance Service (39+ yrs experience),true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039506292-0nntr,Med Cab Emergency Ambulance,Chennai,flight,private,large,"BLS, ALS, Dead Body Ambulance, Air Ambulance",18008-908-208,Chennai & Tamil Nadu,,,,Med Cab,true,false,false,false,false,false,false,true,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039506673-vpjmy,Medifyhome Ambulance Network,Chennai,local,private,medium,"BLS / ALS, equipped with oxygen, defibrillator, trauma kits",9100907036,"Chennai (Kilpauk, Adyar, Anna Nagar West etc.)",,,,Medifyhome aggregator,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039507852-dzruv,Sri Alagar Ambulance Service,Chennai,local,private,small,Emergency Ambulance,9100907036,"Kilpauk, Chennai",,,,Independent private operator,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039508194-5os69,Bethel Ambulance Services,Chennai,local,private,small,Emergency Ambulance,9100907036,"Adyar, Chennai",,,,Independent private operator,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039509383-n5zn1,Pro-Care Ambulance Services,Chennai,local,private,small,Emergency Ambulance,9100907036,"Anna Nagar West, Chennai",,,,Independent private operator,false,false,false,false,false,false,false,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039509853-o52jd,Lifesavers Ambulance Services,Chennai,train,private,large,"Road, Rail (Train) & Air Ambulance, ICU-equipped",9891233040,Chennai & Pan-India,,,,Lifesavers Ambulance Services,true,false,false,false,false,false,false,true,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039511068-hfi04,VMEDO,Chennai,local,private,medium,"BLS / ALS, on-demand booking",9343180000,Chennai & other TN cities,,,,VMEDO,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039511407-r1r8z,Mehta's Hospitals Ambulance,Chennai,local,private,medium,BLS / ALS,044 4227 1001,"Chetpet, Chennai",,,,Dr. Mehta's Hospitals,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039512608-4e8am,Sri Balaji Hospital Ambulance,Chennai,local,private,medium,BLS / ALS,044 2232 5500,"Guindy, Chennai",,,,Sri Balaji Hospital,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039513448-k3zpx,Bharath Hospital Ambulance,Chennai,local,private,medium,BLS / ALS,044 2224 6789,"Nangainallur, Chennai",,,,Bharath Hospital,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039514137-9xcqx,Apollo City Centre Hospital Ambulance,Chennai,local,private,medium,BLS / ALS,1860 500 4916,"George Town, Chennai",,,,Apollo Hospitals Enterprise Ltd.,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-priv-1787039514982-qnbhc,Gleneagles HealthCity Ambulance,Chennai,local,private,large,BLS / ALS / ICU,Contact hospital,"Perumbakkam/Sholinganallur, Chennai",,,,Gleneagles HealthCity,true,false,false,false,false,false,true,false,false,false,2026-08-18T07:51:39.782Z,2026-08-18T07:51:39.782Z
amb-tnwb-1787046117150-8aje4l,Flyinng Squad Ambulance,Chennai,local,private,medium,"Road, ICU/Mobile ICU",+91 9100907036 / +91 9100907622,Chennai (TN) -> Kolkata (WB),,,,Long-distance critical & non-critical patient transfer; operating since 2000; covers Chennai to Kolkata and other interstate routes.,true,false,false,true,false,false,true,true,true,false,2026-08-18T09:41:57.151Z,2026-08-18T09:41:57.151Z
amb-tnwb-1787046117948-jc2kf6,Ansh Train Ambulance Services,Chennai,train,private,large,Train Ambulance (bed-to-bed),Check website for current number,Chennai (TN) -> Kolkata (WB),,,,,true,false,false,false,true,true,true,true,false,false,2026-08-18T09:41:57.948Z,2026-08-18T09:41:57.948Z
amb-tnwb-1787046119147-221coq,King Train Ambulance Service,Chennai,train,private,large,Train Ambulance,Check website for current number,Chennai (TN) -> Kolkata (WB),,,,,true,false,false,false,true,true,true,true,false,false,2026-08-18T09:41:59.147Z,2026-08-18T09:41:59.147Z
amb-tnwb-1787046119474-s4l46s,ICATT Air Ambulance,Chennai,flight,private,large,Air Ambulance,+91 9701111156,Chennai (TN) -> Kolkata (WB),,,,,true,false,true,false,true,true,true,false,false,false,2026-08-18T09:41:59.475Z,2026-08-18T09:41:59.475Z
amb-tnwb-1787046120665-hod550,Panchmukhi Air & Train Ambulance,Chennai / Kolkata,train,private,large,Air Ambulance,Check website for current number,Chennai (TN) -> Kolkata (WB),,,,,true,false,true,false,true,true,true,false,false,false,2026-08-18T09:42:00.665Z,2026-08-18T09:42:00.665Z
amb-tnwb-1787046121026-x3eb69,VMEDO Private Ambulance,Chennai,flight,private,medium,Road (ICU) / Air Ambulance,9343180000,Chennai (TN) -> Kolkata (WB),,,,,true,false,false,false,true,true,true,true,true,false,2026-08-18T09:42:01.026Z,2026-08-18T09:42:01.026Z
amb-tnwb-1787046122207-zgprht,Med Cab Ambulance,Chennai,local,private,medium,"Road, ICU",18008-908-208 (toll-free),Chennai (TN) -> Kolkata (WB),,,,,true,false,false,false,true,true,true,true,true,false,2026-08-18T09:42:02.207Z,2026-08-18T09:42:02.207Z
amb-tnwb-1787046122666-swtqdj,Medifyhome Partner Network,Chennai,local,private,medium,"Road, ICU",+91 9100907036 / +91 9100907622,Chennai (TN) -> Kolkata (WB),,,,,true,false,false,false,true,true,true,false,false,false,2026-08-18T09:42:02.666Z,2026-08-18T09:42:02.666Z
amb-tnwb-1787046123712-0vtay3,Tamil Nadu 108 Emergency Ambulance,Tamil Nadu (all districts),local,government,medium,Government Emergency,108 (toll-free),"Statewide, Tamil Nadu (origin point)",,,,,false,false,false,false,true,true,false,false,false,false,2026-08-18T09:42:03.712Z,2026-08-18T09:42:03.712Z
amb-tnwb-1787046124216-6yzf9k,Lifesavers Rail & Air Ambulance,Coimbatore,train,private,large,Train / Charter Air Ambulance,+91 98912-33040,Coimbatore/Chennai (TN) -> Kolkata (WB),,,,,true,false,true,false,true,true,true,false,false,false,2026-08-18T09:42:04.216Z,2026-08-18T09:42:04.216Z
amb-tnwb-1787046125206-xs07tr,Panchmukhi Air & Train Ambulance (Madurai),Madurai,train,private,large,Air / Train / Road Ambulance,Check website for current number,Madurai (TN) -> Kolkata (WB),,,,,true,false,false,false,true,true,true,false,false,false,2026-08-18T09:42:05.206Z,2026-08-18T09:42:05.206Z
amb-tnwb-1787046125696-kdc2lm,Citizen Rail Ambulance,Multi-city (Pan-India),train,private,large,Train / Air / Road Ambulance,Check website for current number,Tamil Nadu -> Kolkata (WB),,,,,true,false,true,true,true,true,true,true,false,false,2026-08-18T09:42:05.696Z,2026-08-18T09:42:05.696Z
amb-tnwb-1787046226040-hgtkze,Sri Balaji Train Ambulance,Kolkata,train,private,large,Train Ambulance (ICU/CCU/PICU/NICU),Check website for current number,Kolkata (WB) -> Chennai/CMC Vellore (TN),,,,"Manages ticket booking, route planning, and hospital coordination for transfers from Kolkata to Chennai, CMC Vellore and other TN hospitals.",true,true,true,true,false,false,true,false,true,true,2026-08-18T09:43:46.040Z,2026-08-18T09:43:46.041Z
amb-tnwb-1787046228080-bsp9fs,Panchmukhi Air Ambulance,Kolkata,flight,private,large,Air Ambulance,Check website for current number,Kolkata (WB) -> Chennai (TN),,,,"Kolkata office: Ba-7, 101 Shanti Pally, Rajdanga Main Road, Near Acropolis Mall, Kolkata-700021.",true,false,false,true,false,false,true,false,true,true,2026-08-18T09:43:48.080Z,2026-08-18T09:43:48.080Z
amb-tnwb-1787046228425-twnodl,Pawan Ambulance India,Kolkata / Multi-city,local,private,medium,"Road, ICU / Interstate",Check website for current number,Kolkata (WB) -> Chennai (TN),,,,,true,false,false,false,true,true,true,true,true,false,2026-08-18T09:43:48.426Z,2026-08-18T09:43:48.426Z
amb-tnwb-1787046229624-vvidfe,VMEDO Private Ambulance,Kolkata,flight,private,medium,Road (ICU) / Air Ambulance,9343180000,Kolkata (WB) -> Chennai (TN),,,,,true,false,false,false,true,true,true,true,true,false,2026-08-18T09:43:49.624Z,2026-08-18T09:43:49.624Z
